value_rank,player,pos,pos_rank,tier,team,bye,proj_ppr,ppg,vor,auction,adp,adp_edge,risk,ceiling,note
36,Saquon Barkley,RB,9,4,PHI,10,191.8,12.4,60.1,24.8,13.0,-23.0,3,4,"FADE at cost: heavy prior workload, new wide-zone install, Bigsby behind him"
37,DeVonta Smith,WR,21,5,PHI,10,189.9,11.9,58.7,24.2,44.0,7.0,2,3,Reliable WR3 in a low-volume passing attack
38,Drake Maye,QB,3,2,NE,11,328.6,20.2,57.3,23.7,48.0,10.0,2,5,Second in fantasy points per dropback in 2025 behind only Allen
39,Kyle Pitts Sr.,TE,5,3,ATL,11,175.6,11.0,56.7,23.4,53.0,14.0,3,5,VALUE: Stefanski has produced a top-12 TE four years running; 88 catches in 2025
40,Carnell Tate,WR,24,5,TEN,9,185.1,11.6,53.9,22.3,56.0,16.0,3,5,Top rookie WR; 900.5-yard market total says the league expects real volume
41,Jeremiyah Love,RB,12,4,ARI,14,185.4,12.4,53.7,22.3,23.0,-18.0,4,5,"No.3 overall pick, high-ankle sprain in Aug; Conner/Allgeier cap early workload"
42,Javonte Williams,RB,15,4,DAL,14,181.9,11.4,50.2,20.9,33.0,-9.0,2,4,Clear No.1 back in one of the NFC's best offenses
43,Lamar Jackson,QB,2,2,BAL,13,320.9,20.3,49.6,20.6,38.0,-5.0,2,5,Coming off an injury-plagued year; rushing floor is unmatched
44,Omarion Hampton,RB,14,4,LAC,7,181.0,11.7,49.3,20.5,25.0,-19.0,3,5,Highly productive when healthy; McDaniel offense raises the floor
45,Kyren Williams,RB,13,4,LAR,11,180.4,11.4,48.7,20.3,28.0,-17.0,3,3,Volume is real but Blake Corum is a live threat to the goal-line role
46,Texans,DST,1,1,HOU,8,140.0,8.2,48.0,20.0,143.0,97.0,2,5,Top-projected unit in the league
47,Terry McLaurin,WR,25,5,WAS,7,179.0,11.2,47.8,19.9,54.0,7.0,3,4,Washington WR1 with Diggs drawing coverage away
48,Mike Evans,WR,22,5,TB,10,178.8,11.7,47.6,19.8,47.0,-1.0,4,4,Age-33 season; touchdown equity is still elite
49,Jameson Williams,WR,26,5,DET,6,176.5,11.0,45.3,18.9,57.0,8.0,3,4,Big-play WR2 in an elite offense; boom-bust profile
50,Rome Odunze,WR,28,5,CHI,10,175.3,11.0,44.1,18.5,64.0,14.0,3,4,Second option in a rising Caleb Williams offense
51,Davante Adams,WR,23,5,LAR,11,174.9,11.3,43.7,18.3,49.0,-2.0,4,3,Still a red-zone weapon but Nacua dominates the target share
52,Joe Burrow,QB,5,2,CIN,6,310.5,19.7,39.2,16.5,60.0,8.0,3,5,VALUE: QB3 from Weeks 13-18 last season after the toe injury
53,DK Metcalf,WR,27,5,PIT,9,168.5,10.7,37.3,15.8,62.0,9.0,3,3,Alpha role but the Pittsburgh passing game caps him
54,Rams,DST,2,2,LAR,11,129.2,7.6,37.2,15.7,148.0,94.0,2,4,Pass rush drives turnovers
55,Jayden Daniels,QB,4,2,WAS,7,308.4,19.3,37.1,15.7,52.0,-3.0,2,5,Rushing volume plus an upgraded receiver room with Diggs
56,Luther Burden III,WR,31,5,CHI,10,168.0,10.5,36.8,15.6,76.0,20.0,3,5,"Third option now, but the talent is WR2-caliber"
57,Stefon Diggs,WR,33,5,WAS,7,165.3,10.5,34.1,14.5,84.0,27.0,3,4,"VALUE: WR17 last season, now the cheapest realistic WR2 in drafts"
58,Brandon Aubrey,K,1,1,DAL,14,152.0,8.9,34.0,14.5,147.0,89.0,1,5,Top fantasy kicker; 60-yard range makes him genuinely different
59,Marvin Harrison Jr.,WR,29,5,ARI,14,164.4,10.6,33.2,14.1,70.0,11.0,4,5,"Post-hype breakout: LaFleur scheme and Brissett fit, but Beck may see the field"
60,Broncos,DST,3,3,DEN,10,122.8,7.2,30.8,13.2,151.0,91.0,2,4,Elite secondary and sack production
61,Josh Downs,WR,34,6,IND,13,161.6,10.1,30.4,13.0,86.0,25.0,2,4,Slot volume with Keenan Allen and Pierce splitting the outside
62,Justin Herbert,QB,8,2,LAC,7,300.8,18.8,29.5,12.7,92.0,30.0,2,5,VALUE: 21.8 FPPG through nine weeks last year; McDaniel now calls the plays
63,Breece Hall,RB,18,5,NYJ,13,160.5,10.4,28.8,12.4,42.0,-21.0,3,4,Groin cost camp time but expected for Week 1
64,Jaxson Dart,QB,9,2,NYG,8,298.9,18.7,27.6,11.9,100.0,36.0,3,5,"VALUE: QB3 in fantasy points per dropback in 2025; better line, healthy receivers"
65,Dallas Goedert,TE,7,4,PHI,10,145.4,9.4,26.5,11.5,67.0,2.0,3,4,Career-high 11 touchdowns; efficient in a small target share
66,Seahawks,DST,4,3,SEA,11,118.3,7.0,26.3,11.4,154.0,88.0,2,4,Best scoring defense in football in 2025
67,Jalen Hurts,QB,6,2,PHI,10,297.4,18.6,26.1,11.3,72.0,5.0,2,4,Tush-push touchdowns keep the floor high in a run-first offense
68,Cam Skattebo,RB,16,5,NYG,8,157.6,10.9,25.9,11.3,38.0,-30.0,4,4,Back from serious leg/ankle injury; shares top of depth chart with Tracy early
69,Ka'imi Fairbairn,K,2,2,HOU,8,143.8,8.5,25.8,11.2,159.0,90.0,1,4,Tier-one volume kicker
70,Jordan Addison,WR,36,6,MIN,6,155.1,9.7,23.9,10.5,94.0,24.0,2,4,Kyler Murray upgrade lifts the whole Minnesota passing game
71,D'Andre Swift,RB,22,5,CHI,10,154.9,9.7,23.2,10.2,55.0,-16.0,3,4,The Bears back to target in a rising offense
72,Courtland Sutton,WR,30,6,DEN,10,154.1,9.6,22.9,10.1,71.0,-1.0,3,3,FADE: relegated to secondary status after the Waddle trade
73,Eagles,DST,5,3,PHI,10,114.8,6.8,22.8,10.0,157.0,84.0,2,4,Front four generates pressure without blitzing
74,D.J. Moore,WR,32,6,BUF,7,153.9,9.6,22.7,10.0,73.0,-1.0,2,3,"Bills WR1 by target share, but Allen threw only 28.75 times per game"
75,Harold Fannin Jr.,TE,9,4,CLE,11,141.3,8.8,22.4,9.9,81.0,6.0,3,4,Played well down the stretch; Browns passing game is the drag
76,Tucker Kraft,TE,6,4,GB,11,140.3,10.0,21.4,9.5,61.0,-15.0,4,5,Back from a torn ACL; likely opens the year on managed snaps
77,Cameron Dicker,K,3,2,LAC,7,139.0,8.2,21.0,9.3,162.0,85.0,1,4,Accurate and in a good offense
78,Tony Pollard,RB,21,5,TEN,9,152.0,9.5,20.3,9.0,52.0,-26.0,2,3,Top-30 RB four straight years; job looks safe
79,Ravens,DST,6,3,BAL,13,112.0,6.6,20.0,8.9,161.0,82.0,2,3,Takeaway upside every week
80,Wan'Dale Robinson,WR,37,6,NYG,8,149.7,9.4,18.5,8.3,96.0,16.0,2,3,92 catches last season; pure PPR floor play
81,Xavier Worthy,WR,40,6,KC,5,148.8,9.3,17.6,8.0,103.0,22.0,2,5,Third-year leap candidate; speed role in a Mahomes offense
82,Cam Little,K,4,2,JAX,7,135.6,8.0,17.6,8.0,166.0,84.0,1,4,"Big leg, ranked K9 by ESPN"
83,Alec Pierce,WR,38,6,IND,13,147.4,9.2,16.2,7.4,98.0,15.0,2,3,Just paid on a four-year deal; deep-shot specialist
84,Vikings,DST,7,3,MIN,6,107.6,6.3,15.6,7.2,164.0,80.0,2,3,Flores blitz packages create sacks and turnovers
85,Tre' Harris,WR,43,6,LAC,7,146.7,9.2,15.5,7.1,111.0,26.0,3,5,SLEEPER: in the 'elite' LAC WR conversation with a bottom-dwelling ADP
86,David Montgomery,RB,23,5,HOU,8,146.9,9.3,15.2,7.0,58.0,-28.0,3,3,Steady RB2; short-yardage and goal-line work in Houston
87,Chris Boswell,K,5,2,PIT,9,133.0,7.8,15.0,6.9,169.0,82.0,1,3,Reliable veteran
88,Quinshon Judkins,RB,17,5,CLE,11,146.3,9.8,14.6,6.8,40.0,-48.0,4,4,FADE: priced high off a dislocated ankle/fractured fibula; CLE offense still shaky
89,James Conner,RB,20,5,ARI,14,145.5,9.7,13.8,6.5,50.0,-39.0,4,3,Veteran floor but Love takes the long-term role
90,Steelers,DST,8,3,PIT,9,103.7,6.1,11.7,5.6,167.0,77.0,2,3,Veteran unit with splash-play equity
91,Jake Bates,K,6,2,DET,6,129.1,7.6,11.1,5.4,172.0,81.0,1,4,Great offense means constant scoring chances
92,Khalil Shakir,WR,35,7,BUF,7,142.1,8.9,10.9,5.3,90.0,-2.0,2,2,FADE: 20%+ target share twice and still never a top-36 WR; Moore now ahead of him
93,Bo Nix,QB,12,3,DEN,10,281.7,17.3,10.4,5.1,118.0,25.0,2,4,Waddle addition raises the passing ceiling
94,Bucky Irving,RB,19,5,TB,10,141.2,9.4,9.5,4.8,46.0,-48.0,4,5,"FADE: 3.4 YPC and 41.6% success rate in 2025, shoulder surgery, Gainwell + Tucker added"
95,Keenan Allen,WR,39,7,IND,13,140.7,9.1,9.5,4.8,101.0,6.0,3,3,Veteran possession role in a crowded Colts receiver room
96,RJ Harvey,RB,25,5,DEN,10,140.4,8.9,8.7,4.4,63.0,-33.0,4,4,Receiving back in a Payton committee; passing-down role is the value
97,Jake Ferguson,TE,12,4,DAL,14,127.5,8.0,8.6,4.4,107.0,10.0,2,4,"VALUE: TE8 in two of the last three seasons, drafted as TE12"
98,Chargers,DST,9,3,LAC,7,100.3,5.9,8.3,4.3,170.0,72.0,2,4,"STREAM WEEK 1: hosts ARI, then LV in Week 2"
99,Caleb Williams,QB,7,3,CHI,10,279.2,17.1,7.9,4.1,88.0,-11.0,3,4,FADE: carries hidden risk at his current price
100,Harrison Butker,K,7,2,KC,5,125.7,7.4,7.7,4.0,175.0,75.0,1,3,Chiefs volume
101,Trevor Lawrence,QB,10,3,JAX,7,278.0,17.4,6.7,3.7,108.0,7.0,2,4,Steady QB2 with streaming appeal
102,Packers,DST,10,3,GB,11,97.3,5.7,5.3,3.1,173.0,71.0,2,3,Solid streaming option
103,Chig Okonkwo,TE,13,4,WAS,7,123.7,7.7,4.8,2.9,115.0,12.0,2,4,SLEEPER: open targets while defenses key on McLaurin and Diggs
104,Tyler Bass,K,8,2,BUF,7,122.8,7.2,4.8,2.9,178.0,74.0,1,3,Buffalo red-zone efficiency caps attempts
105,Lions,DST,11,3,DET,6,94.5,5.6,2.5,2.0,176.0,71.0,2,3,Scoring offense creates favorable game scripts
106,Brian Thomas Jr.,WR,41,7,JAX,7,133.6,8.3,2.4,1.9,105.0,-1.0,3,5,Collapsed to 48-707-2 after a 1282-yard rookie year; buy-low but not a lock
107,Travis Etienne,RB,24,6,NO,8,134.0,8.5,2.3,1.9,60.0,-47.0,3,3,"FADE: new team, fast pace helps but efficiency and role both uncertain"
108,Ricky Pearsall,WR,44,7,SF,8,133.5,8.3,2.3,1.9,114.0,6.0,3,4,Volume when healthy; SF passing game is efficient
109,Jason Myers,K,9,2,SEA,11,120.3,7.1,2.3,1.9,181.0,72.0,1,3,Steady
110,Bhayshul Tuten,RB,30,6,JAX,7,133.2,8.3,1.5,1.6,78.0,-32.0,3,5,Etienne gone to NO; clear runway for a big second-year jump
111,Jonathon Brooks,RB,27,6,CAR,5,133.1,8.9,1.4,1.6,72.0,-39.0,4,5,Two ACLs behind him; Hubbard's hamstring opens the door to a lead role
112,George Kittle,TE,8,4,SF,8,119.3,9.2,0.4,1.2,77.0,-35.0,5,5,"Aggressive return from a January Achilles tear; elite ceiling, real risk"
113,Rhamondre Stevenson,RB,26,6,NE,11,131.7,8.2,0.0,1.0,68.0,-45.0,3,3,~60% snap share but splits with Henderson all season
114,Jayden Reed,WR,45,7,GB,11,131.2,8.2,0.0,1.0,118.0,4.0,3,3,Explosive but the GB target tree is split many ways
115,Travis Kelce,TE,11,4,KC,5,118.9,7.7,0.0,1.0,95.0,-20.0,4,3,Still featured on passing downs but the age cliff is here
116,Patrick Mahomes II,QB,14,3,KC,5,271.3,16.6,0.0,1.0,120.0,4.0,2,4,Rice back for a full year plus Walker in the backfield
117,Bills,DST,12,3,BUF,7,92.0,5.4,0.0,1.0,179.0,62.0,2,3,Leads in positive game script often
118,Evan McPherson,K,10,2,CIN,6,118.0,6.9,0.0,1.0,184.0,66.0,1,3,High-scoring offense
119,Michael Wilson,WR,48,7,ARI,14,131.0,8.2,-0.2,1.0,138.0,19.0,3,4,Absurd second half of 2025; ADP is only now catching up
120,Dak Prescott,QB,11,3,DAL,14,270.9,17.1,-0.4,1.0,112.0,-8.0,3,4,Lamb and Pickens is as good a receiver duo as there is
121,Sam LaPorta,TE,10,4,DET,6,117.8,7.9,-1.1,1.0,88.0,-33.0,4,4,FADE: hip injury clouds Week 1 and the target share never came back
122,De'Zhaun Stribling,WR,50,7,SF,8,127.9,8.0,-3.3,1.0,133.0,11.0,4,5,SLEEPER: one of the great preseason ADP risers; 7-of-8 for 63 in his debut
123,Brenton Strange,TE,14,4,JAX,7,115.6,7.2,-3.3,1.0,121.0,-2.0,2,3,Ascending role in Jacksonville
124,Kyler Murray,QB,16,3,MIN,6,267.5,16.7,-3.8,1.0,140.0,16.0,3,5,"SLEEPER: legitimate top-6 upside on rushing volume, drafted as a low-end QB2"
125,Jadarian Price,RB,31,6,SEA,11,127.6,8.0,-4.1,1.0,80.0,-45.0,3,4,Rookie leading a committee while Charbonnet finishes ACL rehab
126,Chris Godwin Jr.,WR,42,7,TB,10,125.8,8.1,-5.4,1.0,109.0,-17.0,4,3,Behind Egbuka now; age and injury history both bite
127,TreVeyon Henderson,RB,29,6,NE,11,124.9,7.8,-6.8,1.0,74.0,-53.0,3,4,RB24 in PPG as a rookie but 29% of it came in two Stevenson-less games
128,Quentin Johnston,WR,46,7,LAC,7,123.9,7.7,-7.3,1.0,124.0,-4.0,3,3,Third in the Chargers pecking order behind McConkey and Harris
129,Brock Purdy,QB,13,3,SF,8,262.5,16.6,-8.8,1.0,130.0,1.0,3,3,Efficient but low rushing volume
130,Tank Dell,WR,47,7,HOU,8,121.3,8.1,-9.9,1.0,134.0,4.0,4,4,Higgins' ACL clears a path if Dell is fully back
131,Makai Lemon,WR,51,7,PHI,10,121.1,7.6,-10.1,1.0,146.0,15.0,3,4,Rookie WR4 in the class; Philadelphia volume is the limiter
132,T.J. Hockenson,TE,15,5,MIN,6,107.9,7.0,-11.0,1.0,127.0,-5.0,3,3,Kyler Murray leaned on tight ends in Arizona
133,Terrance Ferguson,TE,16,5,LAR,11,106.3,6.6,-12.6,1.0,137.0,4.0,3,3,Cheap dart in a good offense
134,Zachariah Branch,WR,52,8,ATL,11,116.7,7.3,-14.5,1.0,152.0,18.0,3,4,Speed slot who can win after the catch
135,Blake Corum,RB,34,6,LAR,11,116.6,7.3,-15.1,1.0,100.0,-35.0,2,4,Best pure handcuff in football with standalone flex value
136,Jared Goff,QB,17,3,DET,6,253.1,15.5,-18.2,1.0,145.0,9.0,2,3,"Volume passer in a great offense, zero rushing"
137,Tyler Shough,QB,19,3,NO,8,252.5,15.8,-18.8,1.0,138.0,1.0,3,5,SLEEPER: 17.6 FPPG over nine rookie starts in one of the league's fastest offenses
138,Isaiah Likely,TE,17,5,BAL,13,99.5,6.2,-19.4,1.0,145.0,7.0,3,3,Touchdown equity in the Baltimore red zone
139,Jordan Mason,RB,35,6,MIN,6,111.7,7.0,-20.0,1.0,102.0,-37.0,2,3,Committee grinder with weekly flex appeal
140,Tank Bigsby,RB,36,6,PHI,10,111.4,7.0,-20.3,1.0,104.0,-36.0,2,5,Elite efficiency metrics; would be a league-winner if Barkley missed time
141,Keon Coleman,WR,49,8,BUF,7,110.4,6.9,-20.8,1.0,142.0,1.0,3,3,FADE: never topped 60 targets in either of his first two seasons
142,Chuba Hubbard,RB,28,6,CAR,5,109.7,7.8,-22.0,1.0,75.0,-67.0,4,3,Week-to-week hamstring; losing grip on the job to Brooks
143,Kaleb Johnson,RB,37,6,GB,11,109.0,6.8,-22.7,1.0,106.0,-37.0,3,4,Acquired from PIT specifically because of the Jacobs situation
144,Matthew Stafford,QB,15,3,LAR,11,248.5,16.0,-22.8,1.0,135.0,-9.0,3,3,Pocket passer with elite weapons
145,MarShawn Lloyd,RB,33,6,GB,11,108.6,8.0,-23.1,1.0,91.0,-54.0,5,5,"LEAGUE-WINNER RANGE: Jacobs on exempt list, healthy all preseason, but one game in two years"
146,Charlie Kolar,TE,18,5,BAL,13,95.1,5.9,-23.8,1.0,156.0,10.0,3,2,Deep-league streamer
147,Jordan Love,QB,18,3,GB,11,244.7,15.3,-26.6,1.0,150.0,3.0,3,3,Streaming QB with spike weeks
148,Woody Marks,RB,38,7,HOU,8,104.6,6.5,-27.1,1.0,110.0,-38.0,3,3,Passing-down complement to Montgomery
149,Braelon Allen,RB,39,7,NYJ,13,102.4,6.4,-29.3,1.0,112.0,-37.0,2,4,Direct Breece Hall handcuff with goal-line work
150,Jordan James,RB,40,7,SF,8,102.3,6.4,-29.4,1.0,108.0,-42.0,2,5,Must-own CMC handcuff; the highest-leverage backup in the league
151,Zach Charbonnet,RB,32,7,SEA,11,101.1,7.5,-30.6,1.0,92.0,-59.0,4,4,January ACL; value climbs as the season goes on
152,Kyle Monangai,RB,41,7,CHI,10,98.2,6.1,-33.5,1.0,116.0,-36.0,2,3,Swift handcuff in a good offense
153,Tyrone Tracy Jr.,RB,42,7,NYG,8,96.2,6.0,-35.5,1.0,120.0,-33.0,3,4,RB44 price for a three-down back sharing the top of the depth chart
154,Cam Ward,QB,21,4,TEN,9,232.6,14.5,-38.7,1.0,180.0,26.0,3,3,Second-year passer with Carnell Tate added
155,Malik Willis,QB,20,4,MIA,6,231.7,14.5,-39.6,1.0,175.0,20.0,3,3,Rushing upside in a run-leaning Slowik offense
156,Jonah Coleman,RB,45,7,DEN,10,90.3,5.6,-41.4,1.0,130.0,-26.0,3,3,Three-down skill set but stuck in a Payton three-back rotation
157,Mike Washington Jr.,RB,47,7,LV,13,90.1,5.6,-41.6,1.0,128.0,-29.0,3,4,168 preseason rush yards at 7.3 YPC; ADP rising fast
158,Rachaad White,RB,43,8,WAS,7,86.6,5.4,-45.1,1.0,122.0,-36.0,3,3,True committee with Croskey-Merritt; hard to trust weekly
159,Jacory Croskey-Merritt,RB,44,8,WAS,7,84.9,5.3,-46.8,1.0,126.0,-33.0,3,3,Other half of a muddy Washington committee
160,Fernando Mendoza,QB,24,4,LV,13,222.1,13.9,-49.2,1.0,205.0,45.0,4,4,No.1 overall pick under Kubiak; superflex and dynasty asset first
161,Tyler Allgeier,RB,48,8,ARI,14,81.5,5.1,-50.2,1.0,136.0,-25.0,2,2,Signed to keep Love from a 20-touch rookie workload
162,Kenneth Gainwell,RB,50,8,TB,10,81.5,5.1,-50.2,1.0,144.0,-18.0,2,3,Real threat to Irving's workload after a strong 2025
163,Kaytron Allen,RB,51,8,WAS,7,79.8,5.0,-51.9,1.0,150.0,-13.0,3,3,23 carries in his first preseason game; deep sleeper in a muddy room
164,Keaton Mitchell,RB,52,8,LAC,7,78.1,4.9,-53.6,1.0,155.0,-9.0,3,3,Explosive change-of-pace behind Hampton
165,J.K. Dobbins,RB,46,8,DEN,10,77.9,4.9,-53.8,1.0,132.0,-33.0,3,2,FADE: almost no passing-game role in a committee
166,Sean Tucker,RB,53,8,TB,10,76.5,4.8,-55.2,1.0,160.0,-6.0,2,2,Goal-line threat in the Tampa committee
167,Chris Brooks,RB,54,8,GB,11,75.0,4.7,-56.7,1.0,165.0,-2.0,3,2,Third man in the Packers' post-Jacobs backfield
168,Isiah Pacheco,RB,49,9,DET,6,69.3,4.8,-62.4,1.0,140.0,-28.0,4,2,"Sprained MCL; role is to spell Gibbs, not to replace Montgomery's touches"
169,Jordyn Tyson,WR,53,9,NO,8,67.8,7.5,-63.4,1.0,158.0,-11.0,5,5,STASH ONLY: first-round rookie ruled out roughly two months with a hamstring
170,Jacoby Brissett,QB,25,5,ARI,14,191.0,13.6,-80.3,1.0,215.0,45.0,4,2,Holds the job until Carson Beck is ready
171,Josh Jacobs,RB,55,10,GB,11,27.5,4.6,-104.2,1.0,200.0,29.0,5,3,"AVOID IN REDRAFT: Commissioner Exempt List, first court date in November (Week 11)"
172,Michael Penix Jr.,QB,23,6,ATL,11,155.0,14.1,-116.3,1.0,195.0,23.0,5,4,Knee injury in camp; the eventual starter but the timeline is unclear
173,Tua Tagovailoa,QB,22,6,ATL,11,143.1,14.3,-128.2,1.0,190.0,17.0,5,2,Week 1 starter by default; Penix takes the job back when healthy
