player,pos,team,bye,pos_rank,adp,games,adj,risk,ceiling,note
Travis Etienne,RB,NO,8,24,60.0,15.8,0.93,3,3,"FADE: new team, fast pace helps but efficiency and role both uncertain"
RJ Harvey,RB,DEN,10,25,63.0,15.8,1.00,4,4,"Receiving back in a Payton committee; passing-down role is the value"
Rhamondre Stevenson,RB,NE,11,26,68.0,16.0,0.95,3,3,"~60% snap share but splits with Henderson all season"
Jonathon Brooks,RB,CAR,5,27,72.0,15.0,1.05,4,5,"Two ACLs behind him; Hubbard's hamstring opens the door to a lead role"
TreVeyon Henderson,RB,NE,11,29,74.0,16.0,0.97,3,4,"RB24 in PPG as a rookie but 29% of it came in two Stevenson-less games"
Chuba Hubbard,RB,CAR,5,28,75.0,14.0,0.95,4,3,"Week-to-week hamstring; losing grip on the job to Brooks"
Bhayshul Tuten,RB,JAX,7,30,78.0,16.0,1.06,3,5,"Etienne gone to NO; clear runway for a big second-year jump"
Jadarian Price,RB,SEA,11,31,80.0,16.0,1.04,3,4,"Rookie leading a committee while Charbonnet finishes ACL rehab"
MarShawn Lloyd,RB,GB,11,33,91.0,13.5,1.10,5,5,"LEAGUE-WINNER RANGE: Jacobs on exempt list, healthy all preseason, but one game in two years"
Zach Charbonnet,RB,SEA,11,32,92.0,13.5,1.00,4,4,"January ACL; value climbs as the season goes on"
Blake Corum,RB,LAR,11,34,100.0,16.0,1.02,2,4,"Best pure handcuff in football with standalone flex value"
Jordan Mason,RB,MIN,6,35,102.0,16.0,1.00,2,3,"Committee grinder with weekly flex appeal"
Tank Bigsby,RB,PHI,10,36,104.0,16.0,1.02,2,5,"Elite efficiency metrics; would be a league-winner if Barkley missed time"
Kaleb Johnson,RB,GB,11,37,106.0,16.0,1.02,3,4,"Acquired from PIT specifically because of the Jacobs situation"
Jordan James,RB,SF,8,40,108.0,16.0,1.02,2,5,"Must-own CMC handcuff; the highest-leverage backup in the league"
Woody Marks,RB,HOU,8,38,110.0,16.0,1.00,3,3,"Passing-down complement to Montgomery"
Braelon Allen,RB,NYJ,13,39,112.0,16.0,1.00,2,4,"Direct Breece Hall handcuff with goal-line work"
Kyle Monangai,RB,CHI,10,41,116.0,16.0,1.00,2,3,"Swift handcuff in a good offense"
Tyrone Tracy Jr.,RB,NYG,8,42,120.0,16.0,1.00,3,4,"RB44 price for a three-down back sharing the top of the depth chart"
Rachaad White,RB,WAS,7,43,122.0,16.0,0.92,3,3,"True committee with Croskey-Merritt; hard to trust weekly"
Jacory Croskey-Merritt,RB,WAS,7,44,126.0,16.0,0.92,3,3,"Other half of a muddy Washington committee"
Mike Washington Jr.,RB,LV,13,47,128.0,16.0,1.04,3,4,"168 preseason rush yards at 7.3 YPC; ADP rising fast"
Jonah Coleman,RB,DEN,10,45,130.0,16.0,1.00,3,3,"Three-down skill set but stuck in a Payton three-back rotation"
J.K. Dobbins,RB,DEN,10,46,132.0,16.0,0.88,3,2,"FADE: almost no passing-game role in a committee"
Tyler Allgeier,RB,ARI,14,48,136.0,16.0,0.96,2,2,"Signed to keep Love from a 20-touch rookie workload"
Isiah Pacheco,RB,DET,6,49,140.0,14.5,0.92,4,2,"Sprained MCL; role is to spell Gibbs, not to replace Montgomery's touches"
Kenneth Gainwell,RB,TB,10,50,144.0,16.0,1.00,2,3,"Real threat to Irving's workload after a strong 2025"
Kaytron Allen,RB,WAS,7,51,150.0,16.0,1.00,3,3,"23 carries in his first preseason game; deep sleeper in a muddy room"
Keaton Mitchell,RB,LAC,7,52,155.0,16.0,1.00,3,3,"Explosive change-of-pace behind Hampton"
Sean Tucker,RB,TB,10,53,160.0,16.0,1.00,2,2,"Goal-line threat in the Tampa committee"
Chris Brooks,RB,GB,11,54,165.0,16.0,1.00,3,2,"Third man in the Packers' post-Jacobs backfield"
Josh Jacobs,RB,GB,11,55,200.0,6.0,1.00,5,3,"AVOID IN REDRAFT: Commissioner Exempt List, first court date in November (Week 11)"
Ja'Marr Chase,WR,CIN,6,1,3.0,16.0,1.02,2,5,"Hyperextended knee but confident for the opener; most PPR points ever through five seasons"
Puka Nacua,WR,LAR,11,2,4.0,15.5,1.02,3,5,"All-time WR1 in PPR points per game; groin/psoas cost camp reps"
Jaxon Smith-Njigba,WR,SEA,11,3,5.0,16.3,1.02,2,5,"Led the NFL in target share (36%) and air-yard share (49%) in 2025"
Amon-Ra St. Brown,WR,DET,6,4,7.0,16.3,1.02,2,4,"Three straight WR4-or-better finishes; projected to lead the NFL in receptions"
Justin Jefferson,WR,MIN,6,5,12.0,16.3,1.00,2,5,"Talent never left; Kyler Murray is a clear QB upgrade over 2025"
CeeDee Lamb,WR,DAL,14,6,14.0,15.8,1.00,3,5,"Missed games in consecutive seasons; still an elite target earner"
Drake London,WR,ATL,11,7,16.0,16.0,0.98,3,4,"Stefanski helps, but the ATL quarterback situation is genuinely unresolved"
A.J. Brown,WR,PHI,10,11,19.0,15.8,1.00,3,4,"Efficiency monster in a run-first offense; weekly variance is high"
Nico Collins,WR,HOU,8,8,21.0,16.0,1.04,3,5,"Jayden Higgins' torn ACL concentrates targets even further"
Rashee Rice,WR,KC,5,9,24.0,15.5,1.02,3,5,"Full season of the role he dominated in as a rookie"
Malik Nabers,WR,NYG,8,10,26.0,14.5,1.02,4,5,"Ramping up from a torn ACL; 'reasonable' for Week 1 but non-committal himself"
George Pickens,WR,DAL,14,12,27.0,16.0,1.03,3,5,"VALUE: WR6 in PPR last year on 1575 yards; drafted at WR12 on the franchise tag"
Chris Olave,WR,NO,8,13,30.0,15.5,1.00,4,4,"Fast-paced offense with Shough; concussion history is the risk"
Emeka Egbuka,WR,TB,10,14,31.0,16.0,1.06,3,5,"VALUE: clear alpha under new OC Zac Robinson; toe injury should not cost regular-season time"
Tee Higgins,WR,CIN,6,15,34.0,15.5,1.00,3,4,"Elite when on the field, which has been the recurring problem"
Tetairoa McMillan,WR,CAR,5,16,35.0,16.0,1.05,3,5,"Unquestioned Carolina WR1; only played four games in 2025"
Jaylen Waddle,WR,DEN,10,17,37.0,16.0,1.02,3,4,"1a/1b with Sutton for Bo Nix; scheme fit is clean"
Garrett Wilson,WR,NYJ,13,18,38.0,16.0,1.02,3,4,"9.0 targets per game over a six-week stretch in 2025; volume is bankable"
Ladd McConkey,WR,LAC,7,20,39.0,16.0,1.06,2,5,"VALUE: Mike McDaniel calling plays for Herbert; Keenan Allen left for IND"
Zay Flowers,WR,BAL,13,19,41.0,16.0,1.04,2,4,"VALUE: finished WR7 last season and is being drafted 12 spots later"
DeVonta Smith,WR,PHI,10,21,44.0,16.0,1.00,2,3,"Reliable WR3 in a low-volume passing attack"
Mike Evans,WR,TB,10,22,47.0,15.3,1.00,4,4,"Age-33 season; touchdown equity is still elite"
Davante Adams,WR,LAR,11,23,49.0,15.5,0.98,4,3,"Still a red-zone weapon but Nacua dominates the target share"
Terry McLaurin,WR,WAS,7,25,54.0,16.0,1.00,3,4,"Washington WR1 with Diggs drawing coverage away"
Carnell Tate,WR,TEN,9,24,56.0,16.0,1.02,3,5,"Top rookie WR; 900.5-yard market total says the league expects real volume"
Jameson Williams,WR,DET,6,26,57.0,16.0,1.00,3,4,"Big-play WR2 in an elite offense; boom-bust profile"
DK Metcalf,WR,PIT,9,27,62.0,15.8,0.98,3,3,"Alpha role but the Pittsburgh passing game caps him"
Rome Odunze,WR,CHI,10,28,64.0,16.0,1.02,3,4,"Second option in a rising Caleb Williams offense"
Marvin Harrison Jr.,WR,ARI,14,29,70.0,15.5,1.00,4,5,"Post-hype breakout: LaFleur scheme and Brissett fit, but Beck may see the field"
Courtland Sutton,WR,DEN,10,30,71.0,16.0,0.92,3,3,"FADE: relegated to secondary status after the Waddle trade"
D.J. Moore,WR,BUF,7,32,73.0,16.0,0.95,2,3,"Bills WR1 by target share, but Allen threw only 28.75 times per game"
Luther Burden III,WR,CHI,10,31,76.0,16.0,1.02,3,5,"Third option now, but the talent is WR2-caliber"
Stefon Diggs,WR,WAS,7,33,84.0,15.8,1.05,3,4,"VALUE: WR17 last season, now the cheapest realistic WR2 in drafts"
Josh Downs,WR,IND,13,34,86.0,16.0,1.03,2,4,"Slot volume with Keenan Allen and Pierce splitting the outside"
Khalil Shakir,WR,BUF,7,35,90.0,16.0,0.92,2,2,"FADE: 20%+ target share twice and still never a top-36 WR; Moore now ahead of him"
Jordan Addison,WR,MIN,6,36,94.0,16.0,1.02,2,4,"Kyler Murray upgrade lifts the whole Minnesota passing game"
Wan'Dale Robinson,WR,NYG,8,37,96.0,16.0,1.00,2,3,"92 catches last season; pure PPR floor play"
Alec Pierce,WR,IND,13,38,98.0,16.0,1.00,2,3,"Just paid on a four-year deal; deep-shot specialist"
Keenan Allen,WR,IND,13,39,101.0,15.5,1.00,3,3,"Veteran possession role in a crowded Colts receiver room"
Xavier Worthy,WR,KC,5,40,103.0,16.0,1.04,2,5,"Third-year leap candidate; speed role in a Mahomes offense"
Brian Thomas Jr.,WR,JAX,7,41,105.0,16.0,0.95,3,5,"Collapsed to 48-707-2 after a 1282-yard rookie year; buy-low but not a lock"
Chris Godwin Jr.,WR,TB,10,42,109.0,15.5,0.94,4,3,"Behind Egbuka now; age and injury history both bite"
Tre' Harris,WR,LAC,7,43,111.0,16.0,1.08,3,5,"SLEEPER: in the 'elite' LAC WR conversation with a bottom-dwelling ADP"
Ricky Pearsall,WR,SF,8,44,114.0,16.0,1.00,3,4,"Volume when healthy; SF passing game is efficient"
Jayden Reed,WR,GB,11,45,118.0,16.0,1.00,3,3,"Explosive but the GB target tree is split many ways"
Quentin Johnston,WR,LAC,7,46,124.0,16.0,0.96,3,3,"Third in the Chargers pecking order behind McConkey and Harris"
De'Zhaun Stribling,WR,SF,8,50,133.0,16.0,1.06,4,5,"SLEEPER: one of the great preseason ADP risers; 7-of-8 for 63 in his debut"
Tank Dell,WR,HOU,8,47,134.0,15.0,1.02,4,4,"Higgins' ACL clears a path if Dell is fully back"
Michael Wilson,WR,ARI,14,48,138.0,16.0,1.05,3,4,"Absurd second half of 2025; ADP is only now catching up"
Keon Coleman,WR,BUF,7,49,142.0,16.0,0.90,3,3,"FADE: never topped 60 targets in either of his first two seasons"
Makai Lemon,WR,PHI,10,51,146.0,16.0,1.02,3,4,"Rookie WR4 in the class; Philadelphia volume is the limiter"
Zachariah Branch,WR,ATL,11,52,152.0,16.0,1.00,3,4,"Speed slot who can win after the catch"
Jordyn Tyson,WR,NO,8,53,158.0,9.0,1.05,5,5,"STASH ONLY: first-round rookie ruled out roughly two months with a hamstring"
Brock Bowers,TE,LV,13,1,17.0,16.3,1.03,2,5,"Should lead all tight ends in targets; worth a mid-second-round pick"
Trey McBride,TE,ARI,14,2,18.0,16.3,1.04,2,5,"126-1239-11 in 2025; Brissett was always the quarterback who fed him"
Colston Loveland,TE,CHI,10,3,43.0,16.0,1.05,3,5,"Consensus TE3; healthy entering Year 2 after a strong rookie finish"
Tyler Warren,TE,IND,13,4,45.0,16.0,1.02,3,5,"Minor groin strain; has a real chance to lead the Colts in targets"
Kyle Pitts Sr.,TE,ATL,11,5,53.0,16.0,1.06,3,5,"VALUE: Stefanski has produced a top-12 TE four years running; 88 catches in 2025"
Tucker Kraft,TE,GB,11,6,61.0,14.0,1.02,4,5,"Back from a torn ACL; likely opens the year on managed snaps"
Dallas Goedert,TE,PHI,10,7,67.0,15.5,1.00,3,4,"Career-high 11 touchdowns; efficient in a small target share"
George Kittle,TE,SF,8,8,77.0,13.0,1.02,5,5,"Aggressive return from a January Achilles tear; elite ceiling, real risk"
Harold Fannin Jr.,TE,CLE,11,9,81.0,16.0,1.02,3,4,"Played well down the stretch; Browns passing game is the drag"
Sam LaPorta,TE,DET,6,10,88.0,15.0,0.94,4,4,"FADE: hip injury clouds Week 1 and the target share never came back"
Travis Kelce,TE,KC,5,11,95.0,15.5,0.96,4,3,"Still featured on passing downs but the age cliff is here"
Jake Ferguson,TE,DAL,14,12,107.0,16.0,1.04,2,4,"VALUE: TE8 in two of the last three seasons, drafted as TE12"
Chig Okonkwo,TE,WAS,7,13,115.0,16.0,1.05,2,4,"SLEEPER: open targets while defenses key on McLaurin and Diggs"
Brenton Strange,TE,JAX,7,14,121.0,16.0,1.02,2,3,"Ascending role in Jacksonville"
T.J. Hockenson,TE,MIN,6,15,127.0,15.5,1.02,3,3,"Kyler Murray leaned on tight ends in Arizona"
Terrance Ferguson,TE,LAR,11,16,137.0,16.0,1.02,3,3,"Cheap dart in a good offense"
Isaiah Likely,TE,BAL,13,17,145.0,16.0,1.00,3,3,"Touchdown equity in the Baltimore red zone"
Charlie Kolar,TE,BAL,13,18,156.0,16.0,1.00,3,2,"Deep-league streamer"
Josh Allen,QB,BUF,7,1,30.0,16.5,1.00,1,5,"Only player to finish top-3 in QB PPG in each of the last five seasons"
Lamar Jackson,QB,BAL,13,2,38.0,15.8,1.00,2,5,"Coming off an injury-plagued year; rushing floor is unmatched"
Drake Maye,QB,NE,11,3,48.0,16.3,1.02,2,5,"Second in fantasy points per dropback in 2025 behind only Allen"
Jayden Daniels,QB,WAS,7,4,52.0,16.0,1.00,2,5,"Rushing volume plus an upgraded receiver room with Diggs"
Joe Burrow,QB,CIN,6,5,60.0,15.8,1.04,3,5,"VALUE: QB3 from Weeks 13-18 last season after the toe injury"
Jalen Hurts,QB,PHI,10,6,72.0,16.0,1.00,2,4,"Tush-push touchdowns keep the floor high in a run-first offense"
Caleb Williams,QB,CHI,10,7,88.0,16.3,0.94,3,4,"FADE: carries hidden risk at his current price"
Justin Herbert,QB,LAC,7,8,92.0,16.0,1.05,2,5,"VALUE: 21.8 FPPG through nine weeks last year; McDaniel now calls the plays"
Jaxson Dart,QB,NYG,8,9,100.0,16.0,1.06,3,5,"VALUE: QB3 in fantasy points per dropback in 2025; better line, healthy receivers"
Trevor Lawrence,QB,JAX,7,10,108.0,16.0,1.00,2,4,"Steady QB2 with streaming appeal"
Dak Prescott,QB,DAL,14,11,112.0,15.8,1.00,3,4,"Lamb and Pickens is as good a receiver duo as there is"
Bo Nix,QB,DEN,10,12,118.0,16.3,1.02,2,4,"Waddle addition raises the passing ceiling"
Patrick Mahomes II,QB,KC,5,14,120.0,16.3,1.02,2,4,"Rice back for a full year plus Walker in the backfield"
Brock Purdy,QB,SF,8,13,130.0,15.8,1.00,3,3,"Efficient but low rushing volume"
Matthew Stafford,QB,LAR,11,15,135.0,15.5,1.00,3,3,"Pocket passer with elite weapons"
Tyler Shough,QB,NO,8,19,138.0,16.0,1.05,3,5,"SLEEPER: 17.6 FPPG over nine rookie starts in one of the league's fastest offenses"
Kyler Murray,QB,MIN,6,16,140.0,16.0,1.06,3,5,"SLEEPER: legitimate top-6 upside on rushing volume, drafted as a low-end QB2"
Jared Goff,QB,DET,6,17,145.0,16.3,1.00,2,3,"Volume passer in a great offense, zero rushing"
Jordan Love,QB,GB,11,18,150.0,16.0,1.00,3,3,"Streaming QB with spike weeks"
Malik Willis,QB,MIA,6,20,175.0,16.0,0.98,3,3,"Rushing upside in a run-leaning Slowik offense"
Cam Ward,QB,TEN,9,21,180.0,16.0,1.00,3,3,"Second-year passer with Carnell Tate added"
Tua Tagovailoa,QB,ATL,11,22,190.0,10.0,1.00,5,2,"Week 1 starter by default; Penix takes the job back when healthy"
Michael Penix Jr.,QB,ATL,11,23,195.0,11.0,1.00,5,4,"Knee injury in camp; the eventual starter but the timeline is unclear"
Fernando Mendoza,QB,LV,13,24,205.0,16.0,1.00,4,4,"No.1 overall pick under Kubiak; superflex and dynasty asset first"
Jacoby Brissett,QB,ARI,14,25,215.0,14.0,1.00,4,2,"Holds the job until Carson Beck is ready"
Texans,DST,HOU,8,1,143.0,17.0,1.00,2,5,"Top-projected unit in the league"
Rams,DST,LAR,11,2,148.0,17.0,1.00,2,4,"Pass rush drives turnovers"
Broncos,DST,DEN,10,3,151.0,17.0,1.00,2,4,"Elite secondary and sack production"
Seahawks,DST,SEA,11,4,154.0,17.0,1.00,2,4,"Best scoring defense in football in 2025"
Eagles,DST,PHI,10,5,157.0,17.0,1.00,2,4,"Front four generates pressure without blitzing"
Ravens,DST,BAL,13,6,161.0,17.0,1.00,2,3,"Takeaway upside every week"
Vikings,DST,MIN,6,7,164.0,17.0,1.00,2,3,"Flores blitz packages create sacks and turnovers"
Steelers,DST,PIT,9,8,167.0,17.0,1.00,2,3,"Veteran unit with splash-play equity"
Chargers,DST,LAC,7,9,170.0,17.0,1.00,2,4,"STREAM WEEK 1: hosts ARI, then LV in Week 2"
Packers,DST,GB,11,10,173.0,17.0,1.00,2,3,"Solid streaming option"
Lions,DST,DET,6,11,176.0,17.0,1.00,2,3,"Scoring offense creates favorable game scripts"
Bills,DST,BUF,7,12,179.0,17.0,1.00,2,3,"Leads in positive game script often"
Brandon Aubrey,K,DAL,14,1,147.0,17.0,1.00,1,5,"Top fantasy kicker; 60-yard range makes him genuinely different"
Ka'imi Fairbairn,K,HOU,8,2,159.0,17.0,1.00,1,4,"Tier-one volume kicker"
Cameron Dicker,K,LAC,7,3,162.0,17.0,1.00,1,4,"Accurate and in a good offense"
Cam Little,K,JAX,7,4,166.0,17.0,1.00,1,4,"Big leg, ranked K9 by ESPN"
Chris Boswell,K,PIT,9,5,169.0,17.0,1.00,1,3,"Reliable veteran"
Jake Bates,K,DET,6,6,172.0,17.0,1.00,1,4,"Great offense means constant scoring chances"
Harrison Butker,K,KC,5,7,175.0,17.0,1.00,1,3,"Chiefs volume"
Tyler Bass,K,BUF,7,8,178.0,17.0,1.00,1,3,"Buffalo red-zone efficiency caps attempts"
Jason Myers,K,SEA,11,9,181.0,17.0,1.00,1,3,"Steady"
Evan McPherson,K,CIN,6,10,184.0,17.0,1.00,1,3,"High-scoring offense"
Jake Elliott,K,PHI,10,11,187.0,17.0,1.00,1,3,"Volume kicker in a high-scoring offense"
Chase McLaughlin,K,TB,10,12,190.0,17.0,1.00,1,3,"Accurate, dome-adjacent scoring environment"
Will Reichard,K,MIN,6,13,193.0,17.0,1.00,1,3,"Indoor kicker with a strong leg"
Wil Lutz,K,DEN,10,14,196.0,17.0,1.00,1,3,"Steady veteran on a rising offense"
